window,index,time,pnl,equity,dd_pct
MAIN,252,2024-02-05 16:31:40,1.82,9853.77,1.717834
MAIN,253,2024-02-05 16:45:40,3.57,9857.34,1.682226
MAIN,254,2024-02-08 10:48:40,0.69,9858.03,1.675344
MAIN,255,2024-02-08 15:17:40,1.20,9859.23,1.663375
MAIN,256,2024-02-08 16:16:40,1.10,9860.33,1.652404
MAIN,257,2024-02-09 15:24:40,0.52,9860.85,1.647217
MAIN,258,2024-02-09 15:30:40,1.05,9861.90,1.636744
MAIN,259,2024-02-09 18:16:40,1.31,9863.21,1.623678
MAIN,260,2024-02-09 19:06:40,1.68,9864.89,1.606922
MAIN,261,2024-02-16 19:49:40,-1.70,9863.19,1.623878
MAIN,262,2024-02-19 18:24:40,0.54,9863.73,1.618492
MAIN,263,2024-02-22 16:45:40,2.65,9866.38,1.592061
MAIN,264,2024-02-23 08:45:40,0.42,9866.80,1.587872
MAIN,265,2024-02-23 12:13:40,0.83,9867.63,1.579593
MAIN,266,2024-02-26 17:40:40,1.25,9868.88,1.567125
MAIN,267,2024-02-28 11:00:40,0.39,9869.27,1.563236
MAIN,268,2024-02-28 12:43:40,0.49,9869.76,1.558348
MAIN,269,2024-02-29 15:20:40,0.85,9870.61,1.549870
MAIN,270,2024-03-01 11:06:40,1.31,9871.92,1.536804
MAIN,271,2024-03-12 08:45:40,0.65,9872.57,1.530321
MAIN,272,2024-03-12 15:32:40,2.79,9875.36,1.502494
MAIN,273,2024-03-12 16:47:40,2.41,9877.77,1.478456
MAIN,274,2024-03-12 17:17:40,3.63,9881.40,1.442250
MAIN,275,2024-03-14 10:25:40,0.79,9882.19,1.434371
MAIN,276,2024-03-14 10:31:40,0.52,9882.71,1.429184
MAIN,277,2024-03-14 16:01:40,1.49,9884.20,1.414323
MAIN,278,2024-03-14 17:30:40,2.20,9886.40,1.392380
MAIN,279,2024-03-14 20:10:40,1.60,9888.00,1.376421
MAIN,280,2024-03-15 15:53:40,1.30,9889.30,1.363455
MAIN,281,2024-03-18 09:51:40,1.00,9890.30,1.353481
MAIN,282,2024-03-19 09:16:40,0.85,9891.15,1.345003
MAIN,283,2024-03-19 09:37:40,1.18,9892.33,1.333234
MAIN,284,2024-03-19 12:15:40,1.10,9893.43,1.322262
MAIN,285,2024-03-20 15:47:00,0.70,9894.13,1.315280
MAIN,286,2024-03-26 12:41:40,1.17,9895.30,1.303611
MAIN,287,2024-04-01 18:29:40,2.70,9898.00,1.276681
MAIN,288,2024-04-03 11:16:40,1.46,9899.46,1.262118
MAIN,289,2024-04-03 11:37:40,1.49,9900.95,1.247257
MAIN,290,2024-04-04 15:21:20,1.78,9902.73,1.229503
MAIN,291,2024-04-04 15:30:40,2.74,9905.47,1.202174
MAIN,292,2024-04-04 15:45:40,2.13,9907.60,1.180930
MAIN,293,2024-04-05 06:28:20,1.50,9909.10,1.165968
MAIN,294,2024-04-10 15:46:40,3.67,9912.77,1.129364
MAIN,295,2024-04-10 17:08:20,2.64,9915.41,1.103032
MAIN,296,2024-04-11 12:05:40,2.01,9917.42,1.082984
MAIN,297,2024-04-15 21:53:40,2.36,9919.78,1.059445
MAIN,298,2024-04-16 09:47:00,1.38,9921.16,1.045681
MAIN,299,2024-04-16 11:04:40,1.88,9923.04,1.026930
MAIN,300,2024-04-17 09:24:40,2.30,9925.34,1.003990
MAIN,301,2024-04-17 19:52:40,2.39,9927.73,0.980152
MAIN,302,2024-04-23 04:37:20,-54.95,9872.78,1.528227
MAIN,303,2024-04-23 04:45:40,1.70,9874.48,1.511271
MAIN,304,2024-04-23 05:00:40,2.12,9876.60,1.490126
MAIN,305,2024-04-24 12:33:40,1.42,9878.02,1.475962
MAIN,306,2024-04-25 06:15:40,3.01,9881.03,1.445941
MAIN,307,2024-04-29 04:26:40,1.60,9882.63,1.429982
MAIN,308,2024-04-29 04:50:40,1.82,9884.45,1.411829
MAIN,309,2024-05-01 21:50:40,1.29,9885.74,1.398963
MAIN,310,2024-05-02 21:10:20,1.85,9887.59,1.380511
MAIN,311,2024-05-07 11:20:40,1.47,9889.06,1.365849
MAIN,312,2024-05-08 05:02:40,1.00,9890.06,1.355875
MAIN,313,2024-05-08 11:02:40,1.06,9891.12,1.345302
MAIN,314,2024-05-08 11:45:40,2.22,9893.34,1.323160
MAIN,315,2024-05-13 08:46:20,0.65,9893.99,1.316677
MAIN,316,2024-05-13 09:01:40,0.72,9894.71,1.309495
MAIN,317,2024-05-13 09:17:40,1.31,9896.02,1.296429
MAIN,318,2024-05-13 10:10:20,0.82,9896.84,1.288251
MAIN,319,2024-05-13 10:18:40,0.94,9897.78,1.278875
MAIN,320,2024-05-13 10:47:40,1.43,9899.21,1.264612
MAIN,321,2024-05-13 11:32:40,1.12,9900.33,1.253441
MAIN,322,2024-05-13 14:36:40,1.98,9902.31,1.233692
MAIN,323,2024-05-16 16:48:40,1.77,9904.08,1.216038
MAIN,324,2024-05-20 15:30:40,2.16,9906.24,1.194494
MAIN,325,2024-05-20 15:47:40,2.38,9908.62,1.170756
MAIN,326,2024-05-20 16:00:40,2.39,9911.01,1.146918
MAIN,327,2024-05-21 05:46:20,2.00,9913.01,1.126970
MAIN,328,2024-05-21 06:01:40,1.62,9914.63,1.110812
MAIN,329,2024-05-21 06:44:20,1.80,9916.43,1.092859
MAIN,330,2024-05-21 06:54:40,1.83,9918.26,1.074606
MAIN,331,2024-06-07 19:05:40,-104.55,9813.71,2.117395
MAIN,332,2024-06-10 14:55:40,2.97,9816.68,2.087772
MAIN,333,2024-06-11 05:21:40,1.49,9818.17,2.072910
MAIN,334,2024-06-17 10:30:20,1.25,9819.42,2.060443
MAIN,335,2024-06-18 11:20:20,0.89,9820.31,2.051566
MAIN,336,2024-06-18 11:42:40,0.91,9821.22,2.042490
MAIN,337,2024-06-18 12:08:40,0.84,9822.06,2.034111
MAIN,338,2024-06-18 13:01:20,0.85,9822.91,2.025633
MAIN,339,2024-06-18 14:27:40,0.87,9823.78,2.016956
MAIN,340,2024-07-03 15:30:40,-6.63,9817.15,2.083084
MAIN,341,2024-07-08 10:03:40,0.87,9818.02,2.074407
MAIN,342,2024-07-08 13:31:40,0.99,9819.01,2.064532
MAIN,343,2024-07-09 04:12:40,-0.34,9818.67,2.067923
MAIN,344,2024-07-12 10:05:40,1.33,9820.00,2.054658
MAIN,345,2024-07-12 10:15:40,0.74,9820.74,2.047277
MAIN,346,2024-07-12 10:30:40,1.08,9821.82,2.036505
MAIN,347,2024-07-12 15:46:40,2.02,9823.84,2.016357
MAIN,348,2024-07-22 15:33:40,-62.18,9761.66,2.636545
MAIN,349,2024-07-22 17:41:40,1.99,9763.65,2.616697
MAIN,350,2024-07-23 09:01:20,1.03,9764.68,2.606423
MAIN,351,2024-07-23 09:38:40,1.13,9765.81,2.595153
MAIN,352,2024-07-30 20:02:00,-1.20,9764.61,2.607121
MAIN,353,2024-08-01 13:19:40,1.21,9765.82,2.595053
MAIN,354,2024-08-02 18:00:40,3.93,9769.75,2.555855
MAIN,355,2024-08-02 18:16:20,4.32,9774.07,2.512767
MAIN,356,2024-08-05 22:35:40,3.22,9777.29,2.480650
MAIN,357,2024-08-06 09:20:40,1.33,9778.62,2.467385
MAIN,358,2024-08-06 16:00:40,1.82,9780.44,2.449232
MAIN,359,2024-08-06 16:19:40,2.08,9782.52,2.428486
MAIN,360,2024-08-06 19:01:40,2.88,9785.40,2.399761
MAIN,361,2024-08-07 03:25:40,1.04,9786.44,2.389388
MAIN,362,2024-08-14 16:31:40,1.99,9788.43,2.369539
MAIN,363,2024-08-14 21:47:20,1.33,9789.76,2.356274
MAIN,364,2024-08-15 16:19:40,2.55,9792.31,2.330840
MAIN,365,2024-08-19 13:49:20,1.20,9793.51,2.318871
MAIN,366,2024-08-19 14:14:40,1.23,9794.74,2.306603
MAIN,367,2024-08-19 14:47:40,1.23,9795.97,2.294335
MAIN,368,2024-08-21 16:45:40,1.70,9797.67,2.277379
MAIN,369,2024-08-22 06:00:40,1.30,9798.97,2.264413
MAIN,370,2024-08-22 07:40:40,1.21,9800.18,2.252344
MAIN,371,2024-08-22 16:45:40,2.70,9802.88,2.225414
MAIN,372,2024-08-23 03:15:40,-0.18,9802.70,2.227209
MAIN,373,2024-08-27 04:18:20,0.71,9803.41,2.220128
MAIN,374,2024-08-27 05:22:40,0.90,9804.31,2.211151
MAIN,375,2024-08-27 05:35:20,0.91,9805.22,2.202075
MAIN,376,2024-08-27 05:49:40,0.91,9806.13,2.192998
MAIN,377,2024-08-28 05:44:40,0.84,9806.97,2.184620
MAIN,378,2024-08-28 06:24:40,0.91,9807.88,2.175544
MAIN,379,2024-08-29 03:16:40,1.33,9809.21,2.162278
MAIN,380,2024-08-29 15:45:40,1.66,9810.87,2.145721
MAIN,381,2024-08-30 19:15:40,2.90,9813.77,2.116796
MAIN,382,2024-08-30 19:49:20,2.36,9816.13,2.093258
MAIN,383,2024-08-30 20:54:40,2.23,9818.36,2.071015
MAIN,384,2024-09-02 06:48:40,1.29,9819.65,2.058149
MAIN,385,2024-09-03 04:16:40,0.70,9820.35,2.051167
MAIN,386,2024-09-03 04:49:40,1.44,9821.79,2.036804
MAIN,387,2024-09-03 17:00:20,3.18,9824.97,2.005087
MAIN,388,2024-09-03 17:34:40,3.43,9828.40,1.970876
MAIN,389,2024-09-04 13:47:40,1.69,9830.09,1.954020
MAIN,390,2024-09-06 20:10:40,3.10,9833.19,1.923100
MAIN,391,2024-09-09 08:45:40,0.79,9833.98,1.915220
MAIN,392,2024-09-09 09:00:40,1.21,9835.19,1.903152
MAIN,393,2024-09-09 09:32:40,1.48,9836.67,1.888390
MAIN,394,2024-09-11 15:45:20,1.66,9838.33,1.871833
MAIN,395,2024-09-11 16:00:40,2.28,9840.61,1.849092
MAIN,396,2024-09-11 16:17:40,1.90,9842.51,1.830142
MAIN,397,2024-09-11 16:46:40,1.80,9844.31,1.812188
MAIN,398,2024-09-11 17:18:40,3.13,9847.44,1.780969
MAIN,399,2024-09-17 13:54:40,1.30,9848.74,1.768003
MAIN,400,2024-09-23 11:06:40,1.20,9849.94,1.756034
MAIN,401,2024-09-27 08:46:40,1.19,9851.13,1.744165
MAIN,402,2024-09-27 18:00:40,2.33,9853.46,1.720926
MAIN,403,2024-09-27 18:15:40,2.32,9855.78,1.697786
MAIN,404,2024-09-30 13:46:40,1.93,9857.71,1.678536
