schema_version,created_utc,view_type,window,year,entry_month,symbol,tf,session_state,eligible_unit_count,participation_share,gross_profit,gross_loss,net_realized,profit_factor,winning_unit_count,losing_unit_count,zero_unit_count,partition_realized_equity_dd
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,H4,LONDON,8,0.34782609,54.41,119.39,-64.98,0.455733,6,2,0,118.50
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,H4,LONDON_NY_OVERLAP,11,0.47826087,44.47,356.87,-312.40,0.124611,9,2,0,356.87
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,H4,NEW_YORK_ONLY,1,0.04347826,2.14,0.00,2.14,,1,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,H4,OUTSIDE_DEFINED_SESSION,1,0.04347826,0.00,0.79,-0.79,0.000000,0,1,0,0.79
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,M15,ASIA,4,0.33333333,39.55,446.92,-407.37,0.088495,2,2,0,446.92
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,M15,LONDON,5,0.41666667,70.58,0.00,70.58,,5,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,M15,LONDON_NY_OVERLAP,1,0.08333333,14.92,0.00,14.92,,1,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,GBPUSD,M15,NEW_YORK_ONLY,2,0.16666667,33.99,0.00,33.99,,2,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,H1,ASIA,15,0.22058824,214.43,0.00,214.43,,15,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,H1,LONDON,24,0.35294118,515.72,572.97,-57.25,0.900082,21,3,0,572.97
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,H1,LONDON_NY_OVERLAP,19,0.27941176,250.53,0.00,250.53,,19,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,H1,NEW_YORK_ONLY,7,0.10294118,96.22,0.00,96.22,,7,0,0,0.00
