window,index,time,pnl,equity,dd_pct
MAIN,191,2024-12-30 17:43:40,0.42,10142.23,0.000000
MAIN,192,2024-12-30 18:42:40,0.53,10142.76,0.000000
MAIN,193,2024-12-30 21:53:40,0.53,10143.29,0.000000
MAIN,194,2024-12-31 01:07:40,0.68,10143.97,0.000000
MAIN,195,2024-12-31 12:05:40,0.59,10144.56,0.000000
MAIN,196,2025-01-06 16:09:40,0.75,10145.31,0.000000
MAIN,197,2025-01-15 10:26:40,0.47,10145.78,0.000000
MAIN,198,2025-01-15 17:05:20,0.82,10146.60,0.000000
MAIN,199,2025-01-15 18:03:40,0.91,10147.51,0.000000
MAIN,200,2025-01-16 02:09:20,0.65,10148.16,0.000000
MAIN,201,2025-01-16 08:38:40,0.72,10148.88,0.000000
MAIN,202,2025-01-24 07:32:40,0.97,10149.85,0.000000
MAIN,203,2025-01-28 01:18:40,1.55,10151.40,0.000000
MAIN,204,2025-01-30 05:35:40,0.85,10152.25,0.000000
MAIN,205,2025-01-30 16:03:40,0.70,10152.95,0.000000
MAIN,206,2025-02-05 00:29:00,0.65,10153.60,0.000000
MAIN,207,2025-02-05 02:02:40,0.58,10154.18,0.000000
MAIN,208,2025-02-12 15:30:40,3.50,10157.68,0.000000
MAIN,209,2025-02-14 00:57:40,0.73,10158.41,0.000000
MAIN,210,2025-02-14 04:18:20,0.75,10159.16,0.000000
MAIN,211,2025-02-17 05:24:40,0.63,10159.79,0.000000
MAIN,212,2025-02-17 06:11:40,0.51,10160.30,0.000000
MAIN,213,2025-02-17 08:13:40,0.53,10160.83,0.000000
MAIN,214,2025-03-03 13:53:40,1.28,10162.11,0.000000
MAIN,215,2025-03-04 04:10:40,1.45,10163.56,0.000000
MAIN,216,2025-03-04 15:40:40,1.08,10164.64,0.000000
MAIN,217,2025-03-04 16:01:40,1.21,10165.85,0.000000
MAIN,218,2025-03-06 12:28:40,0.78,10166.63,0.000000
MAIN,219,2025-03-06 13:43:40,0.72,10167.35,0.000000
MAIN,220,2025-03-06 17:08:20,0.82,10168.17,0.000000
MAIN,221,2025-03-20 05:59:40,0.79,10168.96,0.000000
MAIN,222,2025-03-28 23:50:40,0.68,10169.64,0.000000
MAIN,223,2025-03-31 16:54:40,0.81,10170.45,0.000000
MAIN,224,2025-04-21 03:00:40,-48.37,10122.08,0.475594
MAIN,225,2025-04-22 19:53:40,0.87,10122.95,0.467039
MAIN,226,2025-04-29 06:46:40,0.85,10123.80,0.458682
MAIN,227,2025-05-06 15:03:40,1.03,10124.83,0.448554
MAIN,228,2025-05-06 16:03:20,0.80,10125.63,0.440688
MAIN,229,2025-05-06 17:03:40,0.86,10126.49,0.432233
MAIN,230,2025-05-07 01:01:40,1.33,10127.82,0.419155
MAIN,231,2025-05-14 15:18:20,0.91,10128.73,0.410208
MAIN,232,2025-05-14 17:09:40,0.98,10129.71,0.400572
MAIN,233,2025-05-15 10:01:40,0.93,10130.64,0.391428
MAIN,234,2025-05-16 04:56:40,0.75,10131.39,0.384054
MAIN,235,2025-05-21 06:09:40,0.64,10132.03,0.377761
MAIN,236,2025-05-21 10:16:40,0.79,10132.82,0.369993
MAIN,237,2025-05-23 15:15:40,1.04,10133.86,0.359768
