"report_date","open_interest","net_noncomm","net_comm","net_pct_3y"
"2024-12-17","466571","262041","-285233","89.7"
"2024-12-24","454646","247629","-273336","83.3"
"2024-12-31","458584","247279","-271296","82.7"
"2025-01-07","477043","254911","-278646","85.9"
"2025-01-14","526467","279363","-302452","93.6"
"2025-01-21","571387","300784","-326608","98.7"
"2025-01-28","577505","299409","-323722","97.4"
"2025-02-04","542004","302508","-328175","98.7"
"2025-02-11","528719","284504","-309888","92.3"
"2025-02-18","522330","268674","-296071","87.2"
"2025-02-25","512179","261625","-288100","84.6"
"2025-03-04","489270","243261","-271115","76.3"
"2025-03-11","511276","236100","-265188","71.8"
"2025-03-18","533566","257932","-285168","84.6"
"2025-03-25","511482","249796","-278598","80.8"
"2025-04-01","498746","238434","-265061","74.4"
"2025-04-08","445468","200715","-232183","61.5"
"2025-04-15","456628","202210","-231912","64.7"
"2025-04-22","465351","175378","-202268","48.7"
"2025-04-29","451868","163318","-190761","41.7"
"2025-05-06","452414","162497","-192103","39.7"
"2025-05-13","440842","161209","-191207","39.1"
"2025-05-20","448000","163981","-197648","44.2"
"2025-05-27","437538","174184","-207587","49.4"
"2025-06-03","415941","187905","-220826","53.8"
"2025-06-10","417143","187481","-222718","53.2"
"2025-06-17","441214","200648","-237727","61.5"
"2025-06-24","434958","195004","-230560","57.1"
"2025-07-01","437662","201980","-236069","64.7"
"2025-07-08","443144","202968","-238354","66.7"
"2025-07-15","448531","213115","-250688","70.5"
"2025-07-22","489423","253038","-282337","82.1"
"2025-07-29","445259","223596","-259079","69.9"
"2025-08-05","449647","237050","-270146","73.7"
"2025-08-12","446152","229485","-263065","69.2"
"2025-08-19","438541","212590","-249965","67.3"
"2025-08-26","443760","214311","-250965","67.9"
"2025-09-02","492908","249530","-273898","80.1"
"2025-09-09","509625","261740","-273375","85.9"
"2025-09-16","516221","266410","-302371","86.5"
"2025-09-23","528789","266749","-298403","86.5"
"2025-09-30","493748","252908","-288236","79.5"
"2025-10-07","485559","231956","-263772","66.7"
"2025-10-14","485788","203916","-236867","59"
"2025-10-21","472421","176609","-210117","38.5"
"2025-10-28","457122","204664","-237027","60.3"
"2025-11-04","450399","202307","-236542","55.1"
"2025-11-10","459997","207069","-244823","60.3"
"2025-11-18","471953","210339","-245585","62.2"
"2025-11-25","432946","204588","-241403","58.3"
"2025-12-02","418490","217560","-255348","64.1"
"2025-12-09","432569","223886","-262579","64.7"
"2025-12-16","471093","233978","-274358","67.3"
"2025-12-23","492103","240700","-283526","72.4"
"2025-12-30","481866","231173","-275246","64.7"
"2026-01-06","488116","227632","-272035","62.8"
"2026-01-13","527455","251238","-297106","78.8"
"2026-01-20","528004","244770","-289689","73.7"
"2026-01-27","488463","205396","-248285","53.8"
"2026-02-03","409694","165604","-207778","23.1"
"2026-02-10","404391","160012","-197738","15.4"
"2026-02-17","407078","159915","-196782","14.7"
"2026-02-24","420182","159177","-200806","14.1"
"2026-03-03","409789","160145","-200583","15.4"
"2026-03-10","413956","163132","-202976","19.9"
"2026-03-17","411388","159869","-198648","12.8"
"2026-03-24","403925","168327","-203828","25"
"2026-03-31","361409","163202","-201640","20.5"
"2026-04-07","354877","156305","-193751","12.2"
"2026-04-14","362274","162526","-201082","19.2"
"2026-04-21","365842","164006","-202940","24.4"
"2026-04-28","369530","159571","-194813","13.5"
"2026-05-05","367932","163303","-198935","23.1"
"2026-05-12","376496","171622","-210258","30.8"
"2026-05-19","379325","159833","-191629","14.1"
"2026-05-26","353489","154260","-185766","11.5"
"2026-06-02","326052","176020","-206345","34"
"2026-06-09","332709","173837","-201036","32.1"
"2026-06-16","339330","180220","-207563","35.3"
"2026-06-23","352167","181339","-205404","35.3"
"2026-06-30","369541","194019","-221070","39.1"
