"ea","path","guess_type","symbol","m2_trades","m2_report","m1_ran","m1_report","m1_pf","m1_trades","m1_net","m1_eqdd","tier","note","ea_index"
"(Oh) ZZ EA V05B","(OH) EA\(Oh) ZZ EA V05B.ex5","unknown-ea","USDJPY","0","MS5_0017_M2_USDJPY.htm","False","",,,,,"","m2-trades-below-10","17"
"(Oh) ZZ EA V05B","(OH) EA\(Oh) ZZ EA V05B.ex5","unknown-ea","AUDNZD","2","MS5_0017_M2_AUDNZD.htm","False","",,,,,"","m2-trades-below-10","17"
"(oh)  Bot V00","(OH) EA\(oh)  Bot V00.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","18"
"(oh)  Bot V00","(OH) EA\(oh)  Bot V00.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","18"
"(oh)  Bot V00","(OH) EA\(oh)  Bot V00.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","18"
"(oh)  Bot V00","(OH) EA\(oh)  Bot V00.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","18"
"(oh)  Partial Arbitage add on lossing V04","(OH) EA\(oh)  Partial Arbitage add on lossing V04.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","19"
"(oh)  Partial Arbitage add on lossing V04","(OH) EA\(oh)  Partial Arbitage add on lossing V04.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","19"
"(oh)  Partial Arbitage add on lossing V04","(OH) EA\(oh)  Partial Arbitage add on lossing V04.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","19"
"(oh)  Partial Arbitage add on lossing V04","(OH) EA\(oh)  Partial Arbitage add on lossing V04.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","19"
"(OH) Price Action - Trend Line -Fibo -Martingale  V20","(OH) EA\(OH) Price Action - Trend Line -Fibo -Martingale  V20.ex5","grid-recovery","XAUUSD","0","","False","",,,,,"","m2-no-report","20"
"(OH) Price Action - Trend Line -Fibo -Martingale  V20","(OH) EA\(OH) Price Action - Trend Line -Fibo -Martingale  V20.ex5","grid-recovery","EURUSD","0","","False","",,,,,"","m2-no-report","20"
"(OH) Price Action - Trend Line -Fibo -Martingale  V20","(OH) EA\(OH) Price Action - Trend Line -Fibo -Martingale  V20.ex5","grid-recovery","USDJPY","0","","False","",,,,,"","m2-no-report","20"
"(OH) Price Action - Trend Line -Fibo -Martingale  V20","(OH) EA\(OH) Price Action - Trend Line -Fibo -Martingale  V20.ex5","grid-recovery","AUDNZD","0","","False","",,,,,"","m2-no-report","20"
"(OH) Recovery Hedging System with SL V05","(OH) EA\(OH) Recovery Hedging System with SL V05.ex5","grid-recovery","XAUUSD","0","","False","",,,,,"","m2-no-report","21"
"(OH) Recovery Hedging System with SL V05","(OH) EA\(OH) Recovery Hedging System with SL V05.ex5","grid-recovery","EURUSD","0","","False","",,,,,"","m2-no-report","21"
