platform,hash,path,guess_symbol,guess_type
ex4,9f778c93378812adb0d83542bd65897b,2024-06\FREE EA-20240608T074321Z-001\FREE EA\105-GreatTraderNLD.ex4,basket,unknown-ea
ex4,a91f9e81db9ee867997f162c119eebe7,2024-06\FREE EA-20240608T074321Z-001\FREE EA\106-GreatTraderNLDdemo.ex4,basket,unknown-ea
ex4,a4d89fbed74579a09020be3ba881d992,2024-06\FREE EA-20240608T074321Z-001\FREE EA\107-GreatTraderPW.ex4,basket,unknown-ea
ex4,2deabd451261a324f3ba4509bda5a40f,2024-06\FREE EA-20240608T074321Z-001\FREE EA\108-GreatTraderPWdemo.ex4,basket,unknown-ea
ex4,29b686eec4517eabcff7d1cec7440e83,2024-06\FREE EA-20240608T074321Z-001\FREE EA\109-GreatTraderTLSM.ex4,basket,unknown-ea
ex4,bea239fc7fffbb54d5d0b6276498fd94,2024-06\FREE EA-20240608T074321Z-001\FREE EA\10pipsOnceADayOppositeLastNHourTrend.ex4,basket,trend
ex4,6767c31a751f931dabac34c353f95416,2024-06\FREE EA-20240608T074321Z-001\FREE EA\11-BARS.ex4,basket,unknown-ea
ex4,d68ca7ce0bcc2bb27b1d4fbf47294764,2024-06\FREE EA-20240608T074321Z-001\FREE EA\110-GreatTraderTLSMdemo.ex4,basket,unknown-ea
ex4,a55ba8a0f4ddad2ce3d0ca1d780a477e,2024-06\FREE EA-20240608T074321Z-001\FREE EA\111-gtrm.ex4,basket,unknown-ea
ex4,22bceb7459c13173e012d982389b6e2a,2024-06\FREE EA-20240608T074321Z-001\FREE EA\112-Guard.ex4,basket,unknown-ea
ex4,1c082816c672f473136e7867295c7f44,2024-06\FREE EA-20240608T074321Z-001\FREE EA\113-HeikenAshikuskus.ex4,basket,unknown-ea
ex4,5a1056d489a9cf71ad41b64c1e36afca,2024-06\FREE EA-20240608T074321Z-001\FREE EA\114-HeikenAshiSWAlert.ex4,basket,unknown-ea
ex4,903caed2defab563d5ae0507ba627312,2024-06\FREE EA-20240608T074321Z-001\FREE EA\115-HIDDENChannel.ex4,basket,unknown-ea
ex4,49ec70b7fbd8ac7bdcaa769590cb56ed,2024-06\FREE EA-20240608T074321Z-001\FREE EA\116-HIDDENTREND.ex4,basket,trend
ex4,7b1d7741831c06716b43bdc0706d65a8,2024-06\FREE EA-20240608T074321Z-001\FREE EA\117-HIDDENVOLNA.ex4,basket,unknown-ea
ex4,601c27816c8601355becf1cb7bc124db,2024-06\FREE EA-20240608T074321Z-001\FREE EA\118-HMAColornrp.ex4,basket,unknown-ea
ex4,02d13f21a88dfd6ba13b84f1f41161a8,2024-06\FREE EA-20240608T074321Z-001\FREE EA\119-IBFXCPR.ex4,basket,unknown-ea
ex4,2b1e34c49a7d6a6e281cb0e4364ddda3,2024-06\FREE EA-20240608T074321Z-001\FREE EA\12-BBandsStopvBAR.ex4,basket,unknown-ea
ex4,4674fe5fcb05f9aac04fe02f19860887,2024-06\FREE EA-20240608T074321Z-001\FREE EA\120-iCassierWorkTime.ex4,basket,unknown-ea
ex4,f880e09861d7bb7be24cc7b008ea72a7,2024-06\FREE EA-20240608T074321Z-001\FREE EA\121-ILRCAHA.ex4,basket,unknown-ea
ex4,13c6f8113c0abaf3ec3bf5638f190a0e,2024-06\FREE EA-20240608T074321Z-001\FREE EA\122-ILRCSignalAHA.ex4,basket,unknown-ea
ex4,e228620dee94da042af0b9c911bbd933,2024-06\FREE EA-20240608T074321Z-001\FREE EA\123-Info.ex4,basket,unknown-ea
ex4,089e7bd57bcd78b44952916b805def84,2024-06\FREE EA-20240608T074321Z-001\FREE EA\124-iOneThird.ex4,basket,unknown-ea
ex4,c03c1371d01181cd05cec6b000b86c1e,2024-06\FREE EA-20240608T074321Z-001\FREE EA\12431_Happy Fast Money v1.3.ex4,basket,unknown-ea
ex4,ff6ae8eaa678576158e4e0898d2c72b3,2024-06\FREE EA-20240608T074321Z-001\FREE EA\125-iSadukey.ex4,basket,unknown-ea
ex4,5813c735ff3f81fea0eb82e6c35057b6,2024-06\FREE EA-20240608T074321Z-001\FREE EA\126-iSessions.ex4,basket,unknown-ea
ex4,5d861a7653fade1556d9fa716882dd1b,2024-06\FREE EA-20240608T074321Z-001\FREE EA\127-KGPRICEACTIONDETECTOR.ex4,basket,unknown-ea
