"family_name","copies","representative_path","size_kb","mechanism_keywords","uses_iCustom","rough_family","already_known"
"farmai","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Farm AI.mq5","498.8","","n","other","y"
"jobotxbitcoinstocksdca","3","D:\Forex\50_KNOWLEDGE\02_Courses\File\1. Course_EA\! JOBOT Week\EA Week10\(JobotX) BITCOIN STOCKs DCA.mq5","631.3","","n","other","n"
"simplepanel","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Panels\SimplePanel\SimplePanel.mq5","2.7","","n","other","y"
"aomultiversdali","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Ao Multivers Dali.mq5","473.8","","y","other","y"
"flamechart","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Canvas\FlameChart.mq5","3.5","","n","other","y"
"vroc","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\VROC.mq5","3.9","","n","other","y"
"prinnbotnonfarmea","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\PrinnBot Nonfarm EA (10.3).mq5","624.6","","y","other","y"
"jobotfiboqmadvance","3","D:\Forex\10_EA_PROJECTS\1. review EA\0. Not work\(Jobot) Fibo QM Advance  ตามเจ้า  v6.mq5","435.9","","y","other","n"
"jobotgolddowtheorytrailingpendingtrailingeachtrade","3","D:\Forex\50_KNOWLEDGE\02_Courses\File\1. Course_EA\! JOBOT Week\EA Week4\(Jobot) Gold Dow Theory Trailing Pending Trailing each trade 70 .mq5","542.3","","n","other","n"
"aomultiversacc","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Ao Multivers Acc.mq5","453.7","","y","other","y"
"nolossea","3","D:\Forex\10_EA_PROJECTS\2. wait for test\wait for test\0 - MQ5\No Loss EA\No LossEA.mq5","458.3","","n","other","n"
"obv","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\OBV.mq5","3.3","","n","other","y"
"mfi","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\MFI.mq5","4.7","","n","other","y"
"joboteaindicatorcross","3","D:\Forex\50_KNOWLEDGE\02_Courses\File\1. Course_EA\! JOBOT Week\EA Week1\(Jobot) EA Indicator Cross .mq5","412.5","","n","other","n"
"jobotgolddowtheorytrailingpendingx","3","D:\Forex\50_KNOWLEDGE\02_Courses\File\1. Course_EA\! JOBOT Week\EA Week5\(Jobot) Gold Dow Theory Trailing Pending X2 (4).mq5","523.5","","n","other","n"
"volumes","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Volumes.mq5","3.3","","n","other","y"
"boomandcrashdigger","3","D:\Forex\10_EA_PROJECTS\2. wait for test\wait for test\0 - MQ5\Boom And Crash Digger\Boom And Crash Digger.mq5","452.6","","n","other","n"
"boostercomplete","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Booster complete.mq5","818","ATR","y","other","y"
"asi","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\ASI.mq5","4","","n","other","y"
"ultimateoscillator","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Ultimate_Oscillator.mq5","6.7","ATR","n","other","y"
"dteakgoldlogarithmwaysangle","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\(D.TEAK) Gold Logarithm 2 ways Angle  v1.03.mq5","420.4","","y","other","y"
"bossrsiobosrevmmatrandtppercentandpip","3","D:\Forex\10_EA_PROJECTS\(Boss) EA write + USE\.Boss mt4 to mt5\(Boss)RSI_OBOS rev 5 (MM ATR and TP percent and pip).mq5","267.6","ATR","y","other","n"
"dragonfxfordemoaccexp","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\DragonFX 3.0 for Demo Acc Exp 2024.mq5","926.5","","y","other","y"
"fibonaccichannel","3","D:\Forex\10_EA_PROJECTS\.Final EA\. MQL5\Indicators\Free Indicators\Fibonacci Channel.mq5","11","","n","other","y"
"rvi","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\RVI.mq5","4.2","","n","other","y"
"goldlinesemialert","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Gold Line Semi Alert.mq5","248.3","news","y","other","y"
"jobotcurrenciesstrengtholdstyle","3","D:\Forex\50_KNOWLEDGE\02_Courses\File\1. Course_EA\! JOBOT Week\EA Week9\(Jobot) Currencies Strength Old style.mq5","2077.5","","n","other","n"
"jobotdowtheory","3","D:\Forex\50_KNOWLEDGE\02_Courses\File\1. Course_EA\! JOBOT Week\EA Week4\(Jobot) Dow Theory  .mq5","465.6","","n","other","n"
