"family_name","copies","representative_path","size_kb","mechanism_keywords","uses_iCustom","has_mart_block","rough_family","already_known"
"profit_trigger","5","D:\Forex\10_EA_PROJECTS\0. Jobot\AI_GEN\AI workshop3\EA10\Profit Trigger\Profit Trigger.mq4","404.2","","n","y","breakout","n"
"surefire","5","D:\Forex\10_EA_PROJECTS\0. Jobot\AI_GEN\AI workshop3\EA10\SureFire\SureFire V1.0.mq4","437.1","","n","y","breakout","y"
"surfgold","5","D:\Forex\10_EA_PROJECTS\0. Jobot\AI_GEN\AI workshop3\EA10\SurfGold\SurfGold V1.0.mq4","441.2","iMA","n","y","breakout","y"
"1d_4h_1h_current","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\1D-4H-1H-Current.mq4","11.9","iMA","n","n","trend","n"
"1h_4h_1d","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\1H-4H-1D.mq4","17.2","iMA","n","n","trend","n"
"accountmonitor","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\AccountMonitor.mq4","2.3","","n","n","other","n"
"aroon_up_dn","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Aroon  Up & Dn.mq4","3.4","","n","n","other","n"
"atp_5_icustom","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\atp.5 iCustom.mq4","10.2","iCustom","y","n","other","n"
"avalanche","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Avalanche_v1.2.mq4","33.9","iMA","n","n","trend","n"
"binario","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Binario_3.mq4","4.5","iMA","n","n","trend","n"
"binario_tr_d","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Binario TR d.mq4","5.8","iMA","n","n","trend","n"
"boss_price_action_martingale_tma_rev_7_1_mm_atr_close_by_pip","4","D:\Forex\10_EA_PROJECTS\(Boss) EA write + USE\(Boss) Price Action -Martingale +TMA\(Boss) Price Action  + Martingale + TMA rev 7.1 (MM ATR + close by pip).mq4","433.3","iCustom|iATR","y","y","breakout","n"
"cancel_open_stop_or_limit_orders","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Cancel Open Stop or Limit Orders.mq4","0.9","","n","n","other","n"
"close_basket","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Close_Basket.mq4","1.5","","n","n","other","n"
"closemall_hour_input","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\CloseMall_Hour_Input.mq4","1.2","","n","n","other","n"
"csv_producer","4","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\CSV producer.mq4","1.8","","n","n","other","n"
