"token","name","realm","price","sym","tf","days","trades","pf","dd","ai"
"WJT3042","1-13-18 BB RSI X Pyramid LossControl mq5","Others","19599","GBPUSD","60","242","441","2.4","0.06396","59.4897707837141"
"EZZ5518","11-23-14 Alligator+AO Log Anti BB Master mq5","Others","19599","EURUSD","60","263","746","2.92","0.12495","59.4216012550755"
"ROF0542","11-5-6 Alligator+AO Lot Fix Inverse Trigger mq5","Others","19599","EURUSD","60","263","421","1.6","0.2905","59.3774577497543"
"KTJ9287","11-23-33 Alligator+AO Log Anti PercentTrail mq5","Others","19599","EURUSD","60","263","854","1.94","0.09219","59.1388519099652"
"JVW8829","11-24-33 Alligator+AO Plus Anti PercentTrail mq5","Others","19599","EURUSD","60","263","854","1.94","0.09219","59.1388519099652"
"EJY9238","11-14-14 Alligator+AO X After Profit BB Master mq5","Others","19599","EURUSD","60","263","742","2.77","0.09096","59.1061373473969"
"UXG3650","11-23-8 Alligator+AO Log Anti ATR Guard mq5","Others","19599","EURUSD","60","263","861","2.17","0.12459","58.7715260138485"
"JDK9440","11-24-17 Alligator+AO Plus Anti All Perfect mq5","Others","19599","EURUSD","60","263","861","2.17","0.12459","58.7715260138485"
"UHK3487","11-23-35 Alligator+AO Log Anti Adaptive Trail mq5","Others","19599","EURUSD","60","263","861","2.17","0.12459","58.7715260138485"
"KCW8940","11-23-17 Alligator+AO Log Anti All Perfect mq5","Others","19599","EURUSD","60","263","861","2.17","0.12459","58.7715260138485"
"ZPC9230","11-24-35 Alligator+AO Plus Anti Adaptive Trail mq5","Others","19599","EURUSD","60","263","861","2.17","0.12459","58.7715260138485"
"UNT5356","4.2.30-ICHIMOKU+ADX Plus ATR Trail Custom","Others","19599","EURUSD","60","263","599","1.41","0.31972","58.748037983877"
"OBC2573","SWINGALA_MOMENTUM","SWINGALA","39599","XAUUSD","15","135","279","1.38","0.1419","58.4172181095539"
"DFC6147","11-22-4 Alligator+AO Plus Pyramid Tower Master mq5","Others","19599","EURUSD","60","263","270","2.01","0.03773","58.2402171538261"
"WLM4628","11-24-3 Alligator+AO Plus Anti Doji Master mq5","Others","19599","EURUSD","60","263","870","2.31","0.13092","58.0257655790654"
"RTG6154","1-1-20 BB RSI x ATR DynamicClose mq4","Others","19599","EURUSD","60","314","306","2.2","0.05584","57.8203419172151"
"UQH6350","4.2.13-ICHIMOKU+ADX Plus ATR Time Master","Others","19599","EURUSD","60","263","342","1.53","0.2088","57.353274530803"
"HZG0401","9-3-8 WPR+Force Log ATR Guard mq5","Others","19599","EURUSD","60","210","186","2.84","0.17999","56.9089131407771"
"SRC9979","11-23-3 Alligator+AO Log Anti Doji Master mq5","Others","19599","EURUSD","60","263","782","1.43","0.13134","56.6834284248457"
"UWI0947","11-5-4 Alligator+AO Lot Fix Tower Master mq5","Others","19599","EURUSD","60","263","185","1.3","0.0538","56.6118022339012"
"HEO4155","11-17-6 Alligator+AO Log Lot Indy Inverse Trigger mq5","Others","19599","EURUSD","60","263","456","1.45","0.11212","56.5208623946552"
"SJX5785","11-17-4 Alligator+AO Log Lot Indy Tower Master mq5","Others","19599","EURUSD","60","263","167","1.3","0.06521","56.2803870568947"
"QDI6434","11-24-18 Alligator+AO Plus Anti LossControl mq5","Others","19599","EURUSD","60","263","731","1.28","0.11604","56.1870845245887"
"VDM1473","1-13-13 BB RSI X Pyramid Time Master mq5","Others","19599","GBPUSD","60","242","503","1.22","0.19052","56.1537224624569"
"EOU1256","11-14-18 Alligator+AO X After Profit LossControl mq5","Others","19599","EURUSD","60","263","773","1.22","0.04995","56.1383630149331"
"ZUK1195","4.1.13-Ichimoku ADX Timed Exit Grid","Others","19599","EURUSD","60","263","341","1.68","0.13697","56.1301095338149"
"YAG9582","11-22-7 Alligator+AO Plus Pyramid MACD Master mq5","Others","19599","EURUSD","60","263","191","1.32","0.0384","56.0204398483342"
"MRK1612","4.1.34-Martingale Trailing Group Dynamic","Others","19599","EURUSD","60","263","389","1.24","0.32641","55.3039568380443"
"ZTO0462","1-16-24 BB RSI Fractional MoneyTracker mq5 ","Others","19599","XAUUSD","15","24","269","1.91","0.06578","55.2383308159406"
"QVX2046","1-22-30 BB RSI Plus Pyramid Trail Custom mq5","Others","19599","XAUUSD","15","24","176","1.39","0.18875","54.2869614318898"
"DNX4778","1-21-13 BB RSI Log Pyramid Time Master mq5","Others","19599","XAUUSD","15","24","294","1.25","0.23234","54.0978772903527"
"IJP1832","4.4.26-ICHIMOKU+ADX FIX MoneyWise Trail.mq5","Others","19599","XAUUSD","15","24","1675","2.47","0.14762","53.6975017207693"
"SJM2053","11-24-6 Alligator+AO Plus Anti Inverse Trigger mq5","Others","19599","EURUSD","60","263","839","1.27","0.2062","53.6540184803669"
"ASK5368","1-17-34 BB RSI Log Lot Indy Trail Harmony mq5","Others","19599","EURUSD","60","263","407","1.38","0.27939","52.1508672210227"
"FQF5953","4.4.18-ICHIMOKU+ADX FIX LossControl.mq5","Others","19599","XAUUSD","15","24","108","2","0.1975","50.9569074734124"
"XHZ1741","1-22-34 BB RSI Plus Pyramid Trail Harmony mq4","Others","19599","XAUUSD","15","11","262","2.3","0.08712","49.7318108434756"
"XJT0509","1-22-18 BB RSI Plus Pyramid LossControl mq4","Others","19599","XAUUSD","15","11","241","1.97","0.11594","49.6274971422299"
