variant,context,window,year,full_window_eligible,cycles,trades,pf,net,active_share,realized_balance_dd
PIPFLOOR_OFF,GBP_H4,MAIN,2024,True,17,39,4.1573,180.41,0.090979,0.0
PIPFLOOR_OFF,GBP_H4,MAIN,2025,True,17,40,10.8504,324.67,0.078321,0.0
PIPFLOOR_OFF,USDJPY_H1,BWD,2020,True,12,148,0.6786,-278.09,0.253088,509.17
PIPFLOOR_OFF,USDJPY_H1,BWD,2021,True,18,122,4.7268,427.84,0.274161,0.0
PIPFLOOR_OFF,USDJPY_H1,BWD,2022,True,34,153,1.768,374.2,0.157435,158.88
PIPFLOOR_OFF,USDJPY_H1,MAIN,2023,True,38,116,3.4587,508.82,0.11268,27.62
PIPFLOOR_OFF,USDJPY_H1,MAIN,2024,True,34,201,1.2878,232.24,0.219584,152.19
PIPFLOOR_OFF,USDJPY_H1,MAIN,2025,True,19,184,2.0447,522.43,0.270563,111.44
PIPFLOOR_OFF,XAU_H4,BWD,2020,True,20,35,2.0779,213.76,0.017848,49.13
PIPFLOOR_OFF,XAU_H4,BWD,2021,True,22,64,0.8993,-84.78,0.072907,556.25
PIPFLOOR_OFF,XAU_H4,BWD,2022,True,28,49,4.155,383.71,0.033676,0.0
PIPFLOOR_OFF,XAU_H4,MAIN,2023,True,18,37,3.2775,277.38,0.032746,0.0
PIPFLOOR_OFF,XAU_H4,MAIN,2024,True,13,24,4.6761,216.19,0.014968,0.0
PIPFLOOR_OFF,XAU_H4,MAIN,2025,True,11,18,5.3824,214.21,0.00392,0.0
PIPFLOOR_OFF,XAU_M15,BWD,2020,True,130,424,1.3564,1010.91,0.139974,816.95
PIPFLOOR_OFF,XAU_M15,BWD,2021,True,108,492,0.8653,-528.55,0.197921,1127.68
PIPFLOOR_OFF,XAU_M15,BWD,2022,True,140,567,1.1533,537.56,0.187642,814.88
PIPFLOOR_OFF,XAU_M15,MAIN,2023,True,108,488,0.8699,-511.52,0.200234,1038.64
PIPFLOOR_OFF,XAU_M15,MAIN,2024,True,159,531,1.2904,1001.6,0.153622,818.01
PIPFLOOR_OFF,XAU_M15,MAIN,2025,True,228,553,1.4125,1593.25,0.066786,778.43
SELL_DIRECTION,EUR_H4,BWD,2020,True,10,13,1.1931,9.87,0.018745,2.85
SELL_DIRECTION,EUR_H4,BWD,2021,True,22,31,0.3866,-172.49,0.26293,193.76
SELL_DIRECTION,EUR_H4,BWD,2022,True,15,18,0.351,-52.3,0.06608,77.86
SELL_DIRECTION,EUR_H4,MAIN,2023,True,21,21,,30.26,0.014574,0.0
SELL_DIRECTION,EUR_H4,MAIN,2024,True,26,28,,71.86,0.090899,0.0
SELL_DIRECTION,EUR_H4,MAIN,2025,True,5,15,0.4094,-154.26,0.274672,160.25
SELL_DIRECTION,GBP_H4,BWD,2020,True,29,35,9.5963,173.13,0.064055,0.0
SELL_DIRECTION,GBP_H4,BWD,2021,True,22,23,,58.45,0.046017,0.0
SELL_DIRECTION,GBP_H4,BWD,2022,True,18,18,,37.39,0.008878,0.0
SELL_DIRECTION,GBP_H4,MAIN,2023,True,32,33,,79.53,0.033314,0.0
SELL_DIRECTION,GBP_H4,MAIN,2024,True,15,19,5.175,84.46,0.09447,0.0
SELL_DIRECTION,GBP_H4,MAIN,2025,True,23,28,6.8408,119.21,0.134711,0.0
SELL_DIRECTION,USDJPY_H1,BWD,2020,True,74,76,3.3956,56.01,0.048239,22.43
SELL_DIRECTION,USDJPY_H1,BWD,2021,True,86,89,0.3127,-65.71,0.100031,72.0
SELL_DIRECTION,USDJPY_H1,BWD,2022,True,83,107,0.5985,-172.63,0.156936,186.98
SELL_DIRECTION,USDJPY_H1,MAIN,2023,True,56,71,0.6681,-97.52,0.187046,159.14
SELL_DIRECTION,USDJPY_H1,MAIN,2024,True,31,52,0.4262,-230.57,0.198812,232.4
SELL_DIRECTION,USDJPY_H1,MAIN,2025,True,27,45,0.5062,-160.12,0.257489,216.84
SELL_DIRECTION,XAU_H4,BWD,2020,True,40,89,0.8208,-193.14,0.046064,650.76
SELL_DIRECTION,XAU_H4,BWD,2021,True,31,49,15.3591,449.01,0.026312,0.0
SELL_DIRECTION,XAU_H4,BWD,2022,True,28,58,4.3342,473.32,0.044756,0.0
SELL_DIRECTION,XAU_H4,MAIN,2023,True,47,87,0.7307,-274.64,0.067655,723.71
SELL_DIRECTION,XAU_H4,MAIN,2024,True,35,101,1.0431,46.85,0.076024,554.96
SELL_DIRECTION,XAU_H4,MAIN,2025,True,56,137,1.2393,385.0,0.056773,825.61
SELL_DIRECTION,XAU_M15,BWD,2020,False,67,393,0.4656,-2504.95,0.122553,2505.81
SELL_DIRECTION,XAU_M15,BWD,2021,False,0,0,,0,0.0,0.0
SELL_DIRECTION,XAU_M15,BWD,2022,False,0,0,,0,0.0,0.0
SELL_DIRECTION,XAU_M15,MAIN,2023,False,161,621,0.8275,-764.77,0.174744,1299.1
SELL_DIRECTION,XAU_M15,MAIN,2024,False,180,773,0.8873,-685.62,0.165656,1454.88
SELL_DIRECTION,XAU_M15,MAIN,2025,False,7,127,0.4454,-879.86,0.032903,1053.88
SINGLETP_OFF,EUR_H4,BWD,2020,True,2,4,,65.0,0.041487,0.0
SINGLETP_OFF,EUR_H4,BWD,2021,True,0,0,,0,0.0,0.0
SINGLETP_OFF,EUR_H4,BWD,2022,True,2,10,0.4499,-213.28,0.906139,305.08
