variant,context,symbol,tf,window,pf,net,trades,native_eqdd_pct,report_sha256,set_sha256,build_receipt,ex5_sha256,source,sidecar_truncated,cage_kill_confirmed,full_window_eligible,parse_error
DEPTH5,XAU_M15,XAUUSD,M15,BWD,0.97,-254.52,1060,18.36,57e3e12f8b6e7971dbbae726dbf59cbb3bfb1e1486314b6602d245c7e7ae8a2b,2a72b67c08964f5053cdbf07d25411205fd1d762083786a153b0da9ffbb5cf57,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH5,XAU_M15,XAUUSD,M15,MAIN,1.12,1092.69,1230,8.49,c41e294f0fabbd65c0c02548ab2c42cbab473d8eab360f125b905102066c41ed,2a72b67c08964f5053cdbf07d25411205fd1d762083786a153b0da9ffbb5cf57,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
OVERLAP_OFF,EUR_H4,EURUSD,H4,BWD,0.19,-635.4,48,9.4,38fa30c37e439d3fb17f375dee473ac230b9b72fffa0dd8f1d5f51f3317580e5,a029dec80b7c4d800992595415cb5f06f6f403321a93caa8c9e51b00e21bb213,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
OVERLAP_OFF,EUR_H4,EURUSD,H4,MAIN,18.16,153.4,64,1.42,65c591bc1c0b6db70e0ff3f75614c761b79cb7801a47b6641834424260dd5f13,a029dec80b7c4d800992595415cb5f06f6f403321a93caa8c9e51b00e21bb213,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
OVERLAP_OFF,GBP_H4,GBPUSD,H4,BWD,0.33,-1074.85,57,15.21,7e016d3529fb181544e2d6deab8c5b25de1d0af39c13ca06ed6d7ed40d7c3805,a029dec80b7c4d800992595415cb5f06f6f403321a93caa8c9e51b00e21bb213,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
OVERLAP_OFF,GBP_H4,GBPUSD,H4,MAIN,3.17,142.68,60,1.93,17abe5948f2fd99c10ef90eb1d5597969f5674fd3670cf126116b03bea22b760,a029dec80b7c4d800992595415cb5f06f6f403321a93caa8c9e51b00e21bb213,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
OVERLAP_OFF,USDJPY_H1,USDJPY,H1,BWD,0.72,-147.08,264,3.98,fe68d48657c82166cbbea1507c8a13b393cc54e004328f83e2cd23f1217793b5,a029dec80b7c4d800992595415cb5f06f6f403321a93caa8c9e51b00e21bb213,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
OVERLAP_OFF,USDJPY_H1,USDJPY,H1,MAIN,1.65,296.43,274,3.85,43da5e737747a13c3b9450f971590b4d83926513670ac7643555aed458c8bc0a,a029dec80b7c4d800992595415cb5f06f6f403321a93caa8c9e51b00e21bb213,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
OVERLAP_OFF,XAU_M15,XAUUSD,M15,BWD,0.88,-1370.4,952,25.01,4f6de97c89f721c99ce1e44f5418d4eb4f71cfe7cd4a796e87a335a1f9dab5f6,a029dec80b7c4d800992595415cb5f06f6f403321a93caa8c9e51b00e21bb213,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,True,False,
OVERLAP_OFF,XAU_M15,XAUUSD,M15,MAIN,1.05,642.4,1213,21.99,10611756b3e0e5c8efd233cfd60677782e9b7e0bbe8eb3f5b5228dc17079aaa6,a029dec80b7c4d800992595415cb5f06f6f403321a93caa8c9e51b00e21bb213,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
PIPFLOOR_OFF,EUR_H4,EURUSD,H4,BWD,0.61,-525.23,125,10.45,eae47d88f271f2ed3ab53b57223832b0a0db775427234443d4d8c45bf1d66af8,9b1bc32cc6e0ae4a7ce999c125d5ff65a5ae461160bdac38121bb0cc5b1e465e,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
PIPFLOOR_OFF,EUR_H4,EURUSD,H4,MAIN,1.51,270.84,120,5.75,ab8131553290f230c8fbdf15f41273b0c58f14814395e6a2059e91c8506e56c2,9b1bc32cc6e0ae4a7ce999c125d5ff65a5ae461160bdac38121bb0cc5b1e465e,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
PIPFLOOR_OFF,GBP_H4,GBPUSD,H4,BWD,0.63,-782.98,155,14.16,4ff16aedf0bbc7c9bbb47c58c13507513273443c95b16d4d4826bb54ac507459,9b1bc32cc6e0ae4a7ce999c125d5ff65a5ae461160bdac38121bb0cc5b1e465e,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
PIPFLOOR_OFF,GBP_H4,GBPUSD,H4,MAIN,3.51,622.52,117,4.76,157fd9064529a8b653477d4a2f5fd0a0b1409c58624b901c79f16f42db590bca,9b1bc32cc6e0ae4a7ce999c125d5ff65a5ae461160bdac38121bb0cc5b1e465e,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
PIPFLOOR_OFF,USDJPY_H1,USDJPY,H1,BWD,1.36,523.95,423,6.76,60136391b0266b7efcc75586fde0dd20a2539904086f1113ae19ac6dd10b0629,9b1bc32cc6e0ae4a7ce999c125d5ff65a5ae461160bdac38121bb0cc5b1e465e,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
