sha1,duplicate_count,path
ea03dbf4c4fdec08c9c51303329e0b29c87263fd,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\single\SINGLE_Gold_SMC_Continuous_MT5_RiskCapV1_tr686_profit13870.55_dd3847.43_sharpe3.59_20260604_220742.html
ea03dbf4c4fdec08c9c51303329e0b29c87263fd,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\single\SINGLE_Gold_SMC_Continuous_MT5_RiskCapV1_tr686_profit13870.55_dd3847.43_sharpe3.59_20260604_221140.html
e79372fb1e335f2735312bcd32c127d74182c685,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\risk_cap_diagnostics.csv
e79372fb1e335f2735312bcd32c127d74182c685,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\risk_cap_diagnostics.csv
a205e574509fe1b584b658ef34e97eb73e225bb2,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\risk_cap_summary.txt
a205e574509fe1b584b658ef34e97eb73e225bb2,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\risk_cap_summary.txt
e02ae64c30fb11c7981c5790137c449f8ba2be0d,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_004\ReportTester-146237.html
e02ae64c30fb11c7981c5790137c449f8ba2be0d,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\single\SINGLE_Gold_SMC_Continuous_MT5_RiskCapV1_tr479_profit7497.37_dd2355.07_sharpe3.15_20260604_221958.html
da39a3ee5e6b4b0d3255bfef95601890afd80709,5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\.gitkeep
da39a3ee5e6b4b0d3255bfef95601890afd80709,5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\candidates\.gitkeep
da39a3ee5e6b4b0d3255bfef95601890afd80709,5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\oos\.gitkeep
da39a3ee5e6b4b0d3255bfef95601890afd80709,5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\plans\.gitkeep
da39a3ee5e6b4b0d3255bfef95601890afd80709,5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\.gitkeep
b14281f0fb113ea39a8de4a7f1f45d9172193dc8,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\candidates\pass_1_plan_candidate_01_pass_1432.set
b14281f0fb113ea39a8de4a7f1f45d9172193dc8,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\candidates\pass_1_plan_candidate_02_pass_1057.set
046ba23636d70a9e61bf482865ec0bede270680f,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\optimization\OPT_Gold_SMC_Continuous_MT5_RiskCapV1_tests2422_maxprofit3662.79_sharpe1.745573_20260604_215857.csv
046ba23636d70a9e61bf482865ec0bede270680f,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\optimization\OPT_Gold_SMC_Continuous_MT5_RiskCapV1_tests2422_maxprofit3662.79_sharpe1.745573_20260604_220742.csv
046ba23636d70a9e61bf482865ec0bede270680f,3,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\collected\optimization\OPT_Gold_SMC_Continuous_MT5_RiskCapV1_tests2422_maxprofit3662.79_sharpe1.745573_20260604_221958.csv
